Transaction Line Description,Transaction Class,Accounting Date,Transaction Number,Transaction Type Name,Bill-to Customer Name,Bill-to Customer Account Number,Coverage Month,Memo Line Description,Line Amount,Document Currency,Transaction Date,Customer Transaction Reference,Comments,Previous Transaction Number
Dental - Delta Dental PPO - Self + Adult (NA),Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-85.92,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,0,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Legal Insurance - ARAG Legal - Self + Adult (NA),Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,0,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Medical - UC Blue & Gold HMO - Self + Adult (NA),Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,0,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Supplemental Life - Supplemental Life 1x Annual -,Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,0,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Vision - Vision Service Plan - Self + Adult (NA),Credit Memo,6/28/2021,233163,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-10.06,USD,6/28/2021,,AT:  CM per 2107 VLOOKUP,211477
Dental - Delta Dental PPO - Self + Adult (NA),Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-70.5,USD,7/20/2022,,TW due to RFL,226865
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-1.3,USD,7/20/2022,,TW due to RFL,226865
Legal Insurance - ARAG Legal - Self + Adult (NA),Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-11.48,USD,7/20/2022,,TW due to RFL,226865
Medical - UC Blue & Gold HMO - Self + Adult (NA),Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-202.02,USD,7/20/2022,,TW due to RFL,226865
Supplemental Life - Supplemental Life 1x Annual -,Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-23.18,USD,7/20/2022,,TW due to RFL,226865
Vision - Vision Service Plan - Self + Adult (NA),Credit Memo,7/20/2022,344484,UCPATH BENEFITS CM,Mae Torlakson,E10000045,,OFFICE OF THE PRESIDENT,-8.26,USD,7/20/2022,,TW due to RFL,226865
Dental - Delta Dental PPO - Self + Adult,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,0,USD,7/1/2020,E100000452007,,
Dental - Delta Dental PPO - Self + Adult (NA),Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,0,USD,8/1/2020,E100000452008,,
Dental - Delta Dental PPO - Self + Adult (NA),Invoice,4/28/2021,211110,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,91.87,USD,4/1/2021,E100000452104_4.28.2021,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Dental - Delta Dental PPO - Self + Adult (NA),Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,91.87,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
